CID100000085	29	Headache
CID100000085	38	Convulsion
CID100000085	36	Hypertonia
CID100000085	1	Anxiety
CID100000085	35	Dysgeusia
CID100000085	17	Drug dependence
CID100000085	7	Depression
CID100000085	20	Insomnia
CID100000085	39	Insomnia
CID100000085	36	Muscular weakness
CID100000085	35	Vertigo
CID100000085	35	Paraesthesia
CID100000085	35	Dizziness
CID100000119	NONE	NONE
CID100000137	29	Headache
CID100000137	35	Hyperpathia
CID100000137	38	Convulsion
CID100000137	35	Hypoaesthesia
CID100000137	34	Hemianopia
CID100000137	35	Nervous system disorder
CID100000137	1	Nervousness
CID100000137	35	Dysaesthesia
CID100000137	33	Glioma
CID100000137	35	Paraesthesia
CID100000137	3	Aphasia
CID100000137	35	Aphasia
CID100000137	1	Tension
CID100000137	17	Mental disorder
CID100000137	31	Hemiparesis
CID100000137	33	Brain neoplasm
CID100000137	35	Hyperaesthesia
CID100000137	30	Brain oedema
CID100000143	38	Convulsion
CID100000143	5	Confusional state
CID100000143	35	Confusional state
CID100000143	35	Dysgeusia
CID100000143	14	Lethargy
CID100000143	35	Lethargy
CID100000143	37	Neuropathy peripheral
CID100000143	35	Loss of consciousness
CID100000143	35	Syncope
CID100000143	35	Dizziness
CID100000146	NONE	NONE
CID100000158	29	Headache
CID100000158	36	Hypertonia
CID100000158	31	Tremor
CID100000158	36	Nuchal rigidity
CID100000158	35	Paraesthesia
CID100000158	35	Loss of consciousness
CID100000158	19	Vaginismus
CID100000158	35	Presyncope
CID100000158	1	Tension
CID100000158	35	Syncope
CID100000158	34	Vision blurred
CID100000158	35	Dizziness
CID100000159	1	Anxiety
CID100000159	5	Confusional state
CID100000159	35	Confusional state
CID100000159	20	Insomnia
CID100000159	39	Insomnia
CID100000159	1	Agitation
CID100000159	35	Agitation
CID100000159	1	Tension
CID100000159	17	Mental disorder
CID100000159	35	Dizziness
CID100000159	29	Headache
CID100000159	35	Nervous system disorder
CID100000159	35	Syncope
CID100000159	35	Hypoaesthesia
CID100000159	31	Hyperkinesia
CID100000159	7	Major depression
CID100000159	36	Orthostatic hypotension
CID100000159	35	Loss of consciousness
CID100000159	35	Hyperaesthesia
CID100000159	31	Tremor
CID100000159	20	Somnolence
